I, [2019-03-06T06:49:33.121707 #51932]  INFO -- Kitchen: -----> Starting Kitchen (v1.23.2)
E, [2019-03-06T06:49:33.122025 #51932] ERROR -- Kitchen: ------Exception-------
E, [2019-03-06T06:49:33.122077 #51932] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-03-06T06:49:33.122126 #51932] ERROR -- Kitchen: Message: Kitchen YAML file /Users/jvogt/Google Drive/Glitter/Chef/GBUCS-demo/jv-hardening/profiles/.kitchen.yml does not exist.
E, [2019-03-06T06:49:33.122145 #51932] ERROR -- Kitchen: ----------------------
E, [2019-03-06T06:49:33.122181 #51932] ERROR -- Kitchen: ------Backtrace-------
E, [2019-03-06T06:49:33.122200 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-03-06T06:49:33.122266 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:152:in `data'
E, [2019-03-06T06:49:33.122284 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:131:in `suites'
E, [2019-03-06T06:49:33.122302 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-03-06T06:49:33.122318 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-03-06T06:49:33.122336 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:117:in `instances'
E, [2019-03-06T06:49:33.122358 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-03-06T06:49:33.122376 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-03-06T06:49:33.122393 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2019-03-06T06:49:33.122410 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2019-03-06T06:49:33.122428 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command/action.rb:34:in `call'
E, [2019-03-06T06:49:33.122444 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/cli.rb:52:in `perform'
E, [2019-03-06T06:49:33.122499 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2019-03-06T06:49:33.122519 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-03-06T06:49:33.122537 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-03-06T06:49:33.122554 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-03-06T06:49:33.122571 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-03-06T06:49:33.122589 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/bin/kitchen:13:in `block in <top (required)>'
E, [2019-03-06T06:49:33.122607 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-03-06T06:49:33.122623 #51932] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/bin/kitchen:13:in `<top (required)>'
E, [2019-03-06T06:49:33.122641 #51932] ERROR -- Kitchen: /usr/local/bin/kitchen:296:in `load'
E, [2019-03-06T06:49:33.122657 #51932] ERROR -- Kitchen: /usr/local/bin/kitchen:296:in `<main>'
E, [2019-03-06T06:49:33.122674 #51932] ERROR -- Kitchen: ----End Backtrace-----
